date,RBC,platelet,plasma,F_platelet,washed_platelet,apheresis_plasma,etc
2022-08-03,38446,4733,93723,846,0,18726,344
2022-08-04,37359,4782,96789,824,0,20192,374
2022-08-05,35675,4325,99410,681,0,21589,327
2022-08-06,35305,5632,89677,857,0,17693,421
2022-08-07,36888,5874,93355,1033,0,19556,166
2022-08-08,38030,5103,95555,1135,0,21313,296
2022-08-09,35537,5013,97963,929,0,22886,170
2022-08-10,33658,4464,95335,828,0,22061,209
2022-08-11,32601,4983,90436,811,0,16935,191
2022-08-12,30896,4476,87525,778,0,15258,177
2022-08-13,31072,6189,81744,982,0,12347,167
2022-08-14,32906,6730,85561,1155,0,14485,155
2022-08-15,34201,6456,88187,1276,0,16392,148
2022-08-16,33868,4851,89052,978,0,17601,459
2022-08-17,32305,4973,91915,894,0,19166,191
2022-08-18,30653,4835,86432,820,0,16956,188
2022-08-19,28700,4729,89410,725,0,18348,207
2022-08-20,27001,5017,78955,878,0,14444,150
2022-08-21,27780,4869,81680,1014,0,16237,36
2022-08-22,28232,4286,83472,1148,0,18061,224
2022-08-23,27014,4924,81781,980,0,17275,218
2022-08-24,26012,4815,81836,823,0,16126,188
2022-08-25,24964,5178,82558,819,0,15255,213
2022-08-26,23810,5406,85653,793,0,16630,228
2022-08-27,23210,5685,82569,959,0,15557,250
2022-08-28,25769,7095,87981,1063,0,17588,54
2022-08-29,27752,7273,91802,1148,0,19509,77
2022-08-30,27657,7585,95856,921,0,21014,430
2022-08-31,28665,7616,97325,834,0,20337,346
2022-09-01,29346,6879,102493,831,0,21978,421
2022-09-02,30044,7545,100445,764,0,21315,414
2022-09-03,31233,7741,89714,914,0,16855,431
2022-09-04,34698,7926,95089,1112,0,18880,62
2022-09-05,36142,7057,97933,1310,0,20837,301
2022-09-06,33880,6467,93675,1037,0,19406,248
2022-09-07,33364,6991,91176,1024,0,17607,184
2022-09-08,33972,9148,92916,1019,0,17078,285
2022-09-09,35772,12001,87532,1223,0,13378,180
2022-09-10,33886,8757,87444,829,0,13744,25
2022-09-11,32384,4928,86766,500,0,13742,23
2022-09-12,32478,4276,88271,853,0,15191,32
2022-09-13,34270,5546,91702,1062,0,17163,171
2022-09-14,33521,6874,95782,1072,0,19397,367
2022-09-15,32775,6684,93407,891,0,18747,339
2022-09-16,31821,7137,97559,899,0,20674,269
2022-09-17,31839,7685,84705,1102,0,16574,309
2022-09-18,34705,7882,90017,1295,0,18917,103
2022-09-19,35735,6951,92626,1450,0,21017,268
