year,month,component,component_code,inventory,date
2016,8,농축혈소판,PLT,5577,2016-08-01
2016,9,농축혈소판,PLT,6378,2016-09-01
2016,10,농축혈소판,PLT,6469,2016-10-01
2016,11,농축혈소판,PLT,6792,2016-11-01
2016,12,농축혈소판,PLT,6748,2016-12-01
2016,1,신선동결혈장,FFP,74625,2016-01-01
2016,2,신선동결혈장,FFP,79326,2016-02-01
2016,3,신선동결혈장,FFP,84156,2016-03-01
2016,4,신선동결혈장,FFP,84522,2016-04-01
2016,5,신선동결혈장,FFP,90488,2016-05-01
2016,6,신선동결혈장,FFP,81491,2016-06-01
2016,7,신선동결혈장,FFP,80921,2016-07-01
2016,8,신선동결혈장,FFP,80987,2016-08-01
2016,9,신선동결혈장,FFP,85175,2016-09-01
2016,10,신선동결혈장,FFP,87142,2016-10-01
2016,11,신선동결혈장,FFP,87414,2016-11-01
2016,12,신선동결혈장,FFP,87341,2016-12-01
2016,1,백혈구여과제거성분채혈혈소판,SDP,1022,2016-01-01
2016,2,백혈구여과제거성분채혈혈소판,SDP,1143,2016-02-01
2016,3,백혈구여과제거성분채혈혈소판,SDP,1139,2016-03-01
2016,4,백혈구여과제거성분채혈혈소판,SDP,1352,2016-04-01
2016,5,백혈구여과제거성분채혈혈소판,SDP,1365,2016-05-01
2016,6,백혈구여과제거성분채혈혈소판,SDP,1245,2016-06-01
2016,7,백혈구여과제거성분채혈혈소판,SDP,1422,2016-07-01
2016,8,백혈구여과제거성분채혈혈소판,SDP,1141,2016-08-01
2016,9,백혈구여과제거성분채혈혈소판,SDP,1083,2016-09-01
2016,10,백혈구여과제거성분채혈혈소판,SDP,977,2016-10-01
2016,11,백혈구여과제거성분채혈혈소판,SDP,846,2016-11-01
2016,12,백혈구여과제거성분채혈혈소판,SDP,773,2016-12-01
2017,1,농축적혈구,RBC,19365,2017-01-01
2017,2,농축적혈구,RBC,18012,2017-02-01
2017,3,농축적혈구,RBC,21423,2017-03-01
2017,4,농축적혈구,RBC,19142,2017-04-01
2017,5,농축적혈구,RBC,28126,2017-05-01
2017,6,농축적혈구,RBC,37417,2017-06-01
2017,7,농축적혈구,RBC,27288,2017-07-01
2017,8,농축적혈구,RBC,37093,2017-08-01
2017,9,농축적혈구,RBC,24333,2017-09-01
2017,10,농축적혈구,RBC,18001,2017-10-01
2017,11,농축적혈구,RBC,17241,2017-11-01
2017,12,농축적혈구,RBC,21626,2017-12-01
2017,1,농축혈소판,PLT,6987,2017-01-01
2017,2,농축혈소판,PLT,7462,2017-02-01
2017,3,농축혈소판,PLT,6970,2017-03-01
2017,4,농축혈소판,PLT,6866,2017-04-01
2017,5,농축혈소판,PLT,7911,2017-05-01
2017,6,농축혈소판,PLT,6588,2017-06-01
2017,7,농축혈소판,PLT,7233,2017-07-01
2017,8,농축혈소판,PLT,7224,2017-08-01
2017,9,농축혈소판,PLT,7107,2017-09-01
2017,10,농축혈소판,PLT,7149,2017-10-01
2017,11,농축혈소판,PLT,7679,2017-11-01
2017,12,농축혈소판,PLT,8144,2017-12-01
2017,1,신선동결혈장,FFP,94648,2017-01-01
2017,2,신선동결혈장,FFP,99148,2017-02-01
