date,RBC,platelet,plasma,F_platelet,washed_platelet,apheresis_plasma,etc
2021-11-10,110,83,38,10,0,12,21
2021-11-11,132,83,36,8,0,5,18
2021-11-12,105,79,48,13,0,6,19
2021-11-13,93,72,17,14,0,3,21
2021-11-14,69,44,8,8,0,3,7
2021-11-15,114,66,40,17,0,24,17
2021-11-16,107,66,75,9,0,9,21
2021-11-17,117,89,28,21,0,13,19
2021-11-18,101,80,31,9,0,5,17
2021-11-19,121,92,54,18,0,18,23
2021-11-20,123,88,33,8,0,2,16
2021-11-21,92,69,27,7,0,4,12
2021-11-22,155,96,73,22,1,19,40
2021-11-23,163,100,71,27,0,13,26
2021-11-24,142,99,60,23,0,10,29
2021-11-25,155,99,67,14,0,11,21
2021-11-26,202,128,72,13,0,9,28
2021-11-27,159,65,31,15,0,1,19
2021-11-28,108,59,16,8,0,2,9
2021-11-29,157,90,121,22,0,31,35
2021-11-30,137,89,64,20,0,16,27
2021-12-01,136,87,56,26,0,12,18
2021-12-02,151,102,55,17,0,9,29
2021-12-03,154,132,88,24,0,12,21
2021-12-04,77,58,17,9,0,1,8
2021-12-05,60,45,12,7,0,1,1
2021-12-06,177,105,90,20,0,18,36
2021-12-07,136,97,34,15,0,15,12
2021-12-08,113,73,47,27,0,19,20
2021-12-09,125,88,33,19,1,10,20
2021-12-10,138,97,65,10,0,8,20
2021-12-11,107,68,15,13,0,9,9
2021-12-12,72,59,17,7,0,1,5
2021-12-13,158,89,62,22,0,22,48
2021-12-14,163,111,44,24,0,11,22
2021-12-15,121,90,37,18,0,13,22
2021-12-16,134,87,47,21,0,13,35
2021-12-17,116,69,70,8,0,5,27
2021-12-18,115,76,22,14,0,5,21
2021-12-19,88,63,12,4,0,4,14
2021-12-20,166,93,87,32,0,27,30
2021-12-21,160,110,38,19,0,8,24
2021-12-22,152,100,49,19,0,12,29
2021-12-23,152,105,88,19,0,10,26
2021-12-24,134,101,57,13,0,12,30
2021-12-25,88,65,12,14,0,7,19
2021-12-26,60,47,23,1,0,2,8
2021-12-27,98,52,40,31,1,18,26
2021-12-28,147,112,67,16,0,10,21
2021-12-29,139,90,61,29,0,16,29
2021-12-30,134,102,45,13,0,7,26
2021-12-31,132,91,45,17,0,6,28
2022-01-01,28,24,3,0,0,1,4
2022-01-02,44,31,8,4,0,1,3
2022-01-03,109,76,45,17,0,13,26
2022-01-04,107,74,136,15,0,3,26
2022-01-05,111,75,32,28,0,20,10
